country,series_no,metric,value,rank_among_50_states,ranked_metrics,first_places,govt_debt_pct_gdp,budget_balance_pct_gdp
Brazil,32,"GDP per capita, price-adjusted","$23,381",51st,8,0,93.3,-8.1
Brazil,32,Minimum wage,$1.34/h,51st,8,0,93.3,-8.1
Mexico,33,Life expectancy,75.2 yrs,40th,10,3,61.8,-4.9
Mexico,33,Infant mortality,13.4,51st,10,3,61.8,-4.9
Mexico,33,Homicide rate,28.23,51st,10,3,61.8,-4.9
Mexico,33,Gun deaths,21.68,44th,10,3,61.8,-4.9
Mexico,33,People in prison,156,1st,10,3,61.8,-4.9
Mexico,33,GDP per capita,"$13,741",51st,10,3,61.8,-4.9
Mexico,33,"GDP per capita, price-adjusted","$25,682",51st,10,3,61.8,-4.9
Mexico,33,Minimum wage,$2.29/h,51st,10,3,61.8,-4.9
Mexico,33,Maternity leave,12.0 wks,1st,10,3,61.8,-4.9
Mexico,33,"All paid leave, mothers",12.0 wks,1st,10,3,61.8,-4.9
India,34,Life expectancy,71.7 yrs,51st,6,2,84.1,-7.4
India,34,Infant mortality,24.5,51st,6,2,84.1,-7.4
India,34,People in prison,34,1st,6,2,84.1,-7.4
India,34,GDP per capita,"$2,675",51st,6,2,84.1,-7.4
India,34,"GDP per capita, price-adjusted","$11,789",51st,6,2,84.1,-7.4
India,34,Minimum wage,kein_einheitlicher_nationaler_satz/h,n/a,6,2,84.1,-7.4
India,34,Maternity leave,26.0 wks,1st,6,2,84.1,-7.4
India,34,"All paid leave, mothers",nicht_in_quellreihe_enthalten wks,n/a,6,2,84.1,-7.4
Serbia,35,Life expectancy,75.2 yrs,40th,10,4,42.4,-2.2
Serbia,35,Infant mortality,4.5,11th,10,4,42.4,-2.2
Serbia,35,Homicide rate,1.24,1st,10,4,42.4,-2.2
Serbia,35,Gun deaths,2.38,1st,10,4,42.4,-2.2
Serbia,35,People in prison,156,1st,10,4,42.4,-2.2
Serbia,35,Road deaths,7.7,6th,10,4,42.4,-2.2
Serbia,35,GDP per capita,"$15,284",51st,10,4,42.4,-2.2
Serbia,35,"GDP per capita, price-adjusted","$32,724",51st,10,4,42.4,-2.2
Serbia,35,Minimum wage,$4.91/h,51st,10,4,42.4,-2.2
Serbia,35,Maternity leave,20.0 wks,1st,10,4,42.4,-2.2
Serbia,35,"All paid leave, mothers",nicht_in_quellreihe_enthalten wks,n/a,10,4,42.4,-2.2
